top_left,top_right,bottom_left,shape,colour
puzzle_30_tl,puzzle_30_tr,puzzle_30_bl,hexagon,yellow
puzzle_31_tl,puzzle_31_tr,puzzle_31_bl,hexagon,yellow
puzzle_32_tl,puzzle_32_tr,puzzle_32_bl,square,yellow
puzzle_33_tl,puzzle_33_tr,puzzle_33_bl,triangle,yellow
puzzle_34_tl,puzzle_34_tr,puzzle_34_bl,triangle,green
puzzle_35_tl,puzzle_35_tr,puzzle_35_bl,circle,red
puzzle_36_tl,puzzle_36_tr,puzzle_36_bl,trapeze,blue
puzzle_37_tl,puzzle_37_tr,puzzle_37_bl,circle,green
puzzle_38_tl,puzzle_38_tr,puzzle_38_bl,trapeze,blue
puzzle_39_tl,puzzle_39_tr,puzzle_39_bl,kite,blue
puzzle_40_tl,puzzle_40_tr,puzzle_40_bl,right_triangle,blue
puzzle_41_tl,puzzle_41_tr,puzzle_41_bl,circle,green
puzzle_42_tl,puzzle_42_tr,puzzle_42_bl,trapeze,blue
puzzle_43_tl,puzzle_43_tr,puzzle_43_bl,trapeze,red
puzzle_44_tl,puzzle_44_tr,puzzle_44_bl,circle,yellow
puzzle_45_tl,puzzle_45_tr,puzzle_45_bl,pentagon,yellow
puzzle_46_tl,puzzle_46_tr,puzzle_46_bl,rhombus,green
puzzle_47_tl,puzzle_47_tr,puzzle_47_bl,kite,red
puzzle_48_tl,puzzle_48_tr,puzzle_48_bl,rhombus,red
puzzle_49_tl,puzzle_49_tr,puzzle_49_bl,hexagon,yellow
puzzle_50_tl,puzzle_50_tr,puzzle_50_bl,trapeze,yellow
puzzle_51_tl,puzzle_51_tr,puzzle_51_bl,kite,blue
puzzle_52_tl,puzzle_52_tr,puzzle_52_bl,square,blue
puzzle_53_tl,puzzle_53_tr,puzzle_53_bl,kite,red
puzzle_54_tl,puzzle_54_tr,puzzle_54_bl,pentagon,yellow
puzzle_55_tl,puzzle_55_tr,puzzle_55_bl,trapeze,yellow
puzzle_56_tl,puzzle_56_tr,puzzle_56_bl,hexagon,red
puzzle_57_tl,puzzle_57_tr,puzzle_57_bl,kite,blue
puzzle_58_tl,puzzle_58_tr,puzzle_58_bl,trapeze,green
puzzle_59_tl,puzzle_59_tr,puzzle_59_bl,pentagon,green
puzzle_60_tl,puzzle_60_tr,puzzle_60_bl,rhombus,red
puzzle_61_tl,puzzle_61_tr,puzzle_61_bl,hexagon,blue
puzzle_62_tl,puzzle_62_tr,puzzle_62_bl,kite,red
puzzle_63_tl,puzzle_63_tr,puzzle_63_bl,trapeze,yellow
puzzle_64_tl,puzzle_64_tr,puzzle_64_bl,kite,yellow
puzzle_65_tl,puzzle_65_tr,puzzle_65_bl,square,green
puzzle_66_tl,puzzle_66_tr,puzzle_66_bl,circle,yellow
puzzle_67_tl,puzzle_67_tr,puzzle_67_bl,triangle,blue
puzzle_68_tl,puzzle_68_tr,puzzle_68_bl,trapeze,blue
puzzle_69_tl,puzzle_69_tr,puzzle_69_bl,pentagon,blue
puzzle_70_tl,puzzle_70_tr,puzzle_70_bl,hexagon,yellow
puzzle_71_tl,puzzle_71_tr,puzzle_71_bl,triangle,green
puzzle_72_tl,puzzle_72_tr,puzzle_72_bl,trapeze,red
puzzle_73_tl,puzzle_73_tr,puzzle_73_bl,hexagon,yellow
puzzle_74_tl,puzzle_74_tr,puzzle_74_bl,rhombus,green
puzzle_75_tl,puzzle_75_tr,puzzle_75_bl,pentagon,yellow
puzzle_76_tl,puzzle_76_tr,puzzle_76_bl,hexagon,red
puzzle_77_tl,puzzle_77_tr,puzzle_77_bl,right_triangle,green
puzzle_78_tl,puzzle_78_tr,puzzle_78_bl,hexagon,yellow
puzzle_79_tl,puzzle_79_tr,puzzle_79_bl,kite,green
puzzle_80_tl,puzzle_80_tr,puzzle_80_bl,circle,yellow
puzzle_81_tl,puzzle_81_tr,puzzle_81_bl,square,red
puzzle_82_tl,puzzle_82_tr,puzzle_82_bl,rhombus,green
puzzle_83_tl,puzzle_83_tr,puzzle_83_bl,pentagon,yellow
puzzle_84_tl,puzzle_84_tr,puzzle_84_bl,hexagon,yellow
puzzle_85_tl,puzzle_85_tr,puzzle_85_bl,rhombus,yellow
puzzle_86_tl,puzzle_86_tr,puzzle_86_bl,rhombus,green
puzzle_87_tl,puzzle_87_tr,puzzle_87_bl,trapeze,red
puzzle_88_tl,puzzle_88_tr,puzzle_88_bl,rhombus,blue
puzzle_89_tl,puzzle_89_tr,puzzle_89_bl,triangle,yellow
puzzle_90_tl,puzzle_90_tr,puzzle_90_bl,circle,red
puzzle_91_tl,puzzle_91_tr,puzzle_91_bl,triangle,green
puzzle_92_tl,puzzle_92_tr,puzzle_92_bl,rhombus,yellow
puzzle_93_tl,puzzle_93_tr,puzzle_93_bl,triangle,blue
puzzle_94_tl,puzzle_94_tr,puzzle_94_bl,square,red
puzzle_95_tl,puzzle_95_tr,puzzle_95_bl,hexagon,blue
puzzle_96_tl,puzzle_96_tr,puzzle_96_bl,right_triangle,red
puzzle_97_tl,puzzle_97_tr,puzzle_97_bl,square,red
puzzle_98_tl,puzzle_98_tr,puzzle_98_bl,trapeze,green
puzzle_99_tl,puzzle_99_tr,puzzle_99_bl,circle,green
puzzle_100_tl,puzzle_100_tr,puzzle_100_bl,pentagon,green
puzzle_101_tl,puzzle_101_tr,puzzle_101_bl,square,green
puzzle_102_tl,puzzle_102_tr,puzzle_102_bl,circle,green
puzzle_103_tl,puzzle_103_tr,puzzle_103_bl,triangle,green
puzzle_104_tl,puzzle_104_tr,puzzle_104_bl,trapeze,yellow
puzzle_105_tl,puzzle_105_tr,puzzle_105_bl,square,red
puzzle_106_tl,puzzle_106_tr,puzzle_106_bl,circle,red
puzzle_107_tl,puzzle_107_tr,puzzle_107_bl,square,red
puzzle_108_tl,puzzle_108_tr,puzzle_108_bl,circle,red
puzzle_109_tl,puzzle_109_tr,puzzle_109_bl,right_triangle,red
puzzle_110_tl,puzzle_110_tr,puzzle_110_bl,rhombus,yellow
puzzle_111_tl,puzzle_111_tr,puzzle_111_bl,rhombus,blue
puzzle_112_tl,puzzle_112_tr,puzzle_112_bl,triangle,blue
puzzle_113_tl,puzzle_113_tr,puzzle_113_bl,rhombus,yellow
puzzle_114_tl,puzzle_114_tr,puzzle_114_bl,rhombus,yellow
puzzle_115_tl,puzzle_115_tr,puzzle_115_bl,hexagon,red
puzzle_116_tl,puzzle_116_tr,puzzle_116_bl,circle,green
puzzle_117_tl,puzzle_117_tr,puzzle_117_bl,trapeze,blue
puzzle_118_tl,puzzle_118_tr,puzzle_118_bl,right_triangle,red
puzzle_119_tl,puzzle_119_tr,puzzle_119_bl,circle,yellow
puzzle_120_tl,puzzle_120_tr,puzzle_120_bl,square,blue
puzzle_121_tl,puzzle_121_tr,puzzle_121_bl,hexagon,red
puzzle_122_tl,puzzle_122_tr,puzzle_122_bl,rhombus,blue
puzzle_123_tl,puzzle_123_tr,puzzle_123_bl,square,yellow
puzzle_124_tl,puzzle_124_tr,puzzle_124_bl,square,green
puzzle_125_tl,puzzle_125_tr,puzzle_125_bl,right_triangle,red
puzzle_126_tl,puzzle_126_tr,puzzle_126_bl,right_triangle,red
puzzle_127_tl,puzzle_127_tr,puzzle_127_bl,pentagon,yellow
puzzle_128_tl,puzzle_128_tr,puzzle_128_bl,triangle,blue
puzzle_129_tl,puzzle_129_tr,puzzle_129_bl,right_triangle,red
puzzle_130_tl,puzzle_130_tr,puzzle_130_bl,hexagon,yellow
puzzle_131_tl,puzzle_131_tr,puzzle_131_bl,circle,red
puzzle_132_tl,puzzle_132_tr,puzzle_132_bl,pentagon,red
puzzle_133_tl,puzzle_133_tr,puzzle_133_bl,circle,yellow
puzzle_134_tl,puzzle_134_tr,puzzle_134_bl,triangle,red
puzzle_135_tl,puzzle_135_tr,puzzle_135_bl,rhombus,blue
puzzle_136_tl,puzzle_136_tr,puzzle_136_bl,circle,yellow
puzzle_137_tl,puzzle_137_tr,puzzle_137_bl,hexagon,yellow
puzzle_138_tl,puzzle_138_tr,puzzle_138_bl,hexagon,red
puzzle_139_tl,puzzle_139_tr,puzzle_139_bl,right_triangle,green
puzzle_140_tl,puzzle_140_tr,puzzle_140_bl,circle,yellow
puzzle_141_tl,puzzle_141_tr,puzzle_141_bl,right_triangle,green
puzzle_142_tl,puzzle_142_tr,puzzle_142_bl,hexagon,blue
puzzle_143_tl,puzzle_143_tr,puzzle_143_bl,pentagon,green
puzzle_144_tl,puzzle_144_tr,puzzle_144_bl,hexagon,yellow
puzzle_145_tl,puzzle_145_tr,puzzle_145_bl,rhombus,green
puzzle_146_tl,puzzle_146_tr,puzzle_146_bl,kite,green
puzzle_147_tl,puzzle_147_tr,puzzle_147_bl,trapeze,blue
puzzle_148_tl,puzzle_148_tr,puzzle_148_bl,triangle,blue
puzzle_149_tl,puzzle_149_tr,puzzle_149_bl,circle,blue
puzzle_150_tl,puzzle_150_tr,puzzle_150_bl,hexagon,red
puzzle_151_tl,puzzle_151_tr,puzzle_151_bl,hexagon,blue
puzzle_152_tl,puzzle_152_tr,puzzle_152_bl,trapeze,red
puzzle_153_tl,puzzle_153_tr,puzzle_153_bl,triangle,green
puzzle_154_tl,puzzle_154_tr,puzzle_154_bl,square,red
puzzle_155_tl,puzzle_155_tr,puzzle_155_bl,square,green
puzzle_156_tl,puzzle_156_tr,puzzle_156_bl,triangle,red
puzzle_157_tl,puzzle_157_tr,puzzle_157_bl,hexagon,green
puzzle_158_tl,puzzle_158_tr,puzzle_158_bl,square,yellow
puzzle_159_tl,puzzle_159_tr,puzzle_159_bl,square,yellow
puzzle_160_tl,puzzle_160_tr,puzzle_160_bl,pentagon,yellow
puzzle_161_tl,puzzle_161_tr,puzzle_161_bl,hexagon,red
puzzle_162_tl,puzzle_162_tr,puzzle_162_bl,square,red
puzzle_163_tl,puzzle_163_tr,puzzle_163_bl,square,red
puzzle_164_tl,puzzle_164_tr,puzzle_164_bl,square,blue
puzzle_165_tl,puzzle_165_tr,puzzle_165_bl,trapeze,blue
puzzle_166_tl,puzzle_166_tr,puzzle_166_bl,kite,green
puzzle_167_tl,puzzle_167_tr,puzzle_167_bl,triangle,green
puzzle_168_tl,puzzle_168_tr,puzzle_168_bl,square,yellow
puzzle_169_tl,puzzle_169_tr,puzzle_169_bl,rhombus,blue
puzzle_170_tl,puzzle_170_tr,puzzle_170_bl,square,red
puzzle_171_tl,puzzle_171_tr,puzzle_171_bl,triangle,blue
puzzle_172_tl,puzzle_172_tr,puzzle_172_bl,circle,red
puzzle_173_tl,puzzle_173_tr,puzzle_173_bl,rhombus,red
puzzle_174_tl,puzzle_174_tr,puzzle_174_bl,triangle,green
puzzle_175_tl,puzzle_175_tr,puzzle_175_bl,square,blue
puzzle_176_tl,puzzle_176_tr,puzzle_176_bl,trapeze,green
puzzle_177_tl,puzzle_177_tr,puzzle_177_bl,triangle,yellow
puzzle_178_tl,puzzle_178_tr,puzzle_178_bl,trapeze,green
puzzle_179_tl,puzzle_179_tr,puzzle_179_bl,kite,green
puzzle_180_tl,puzzle_180_tr,puzzle_180_bl,hexagon,blue
puzzle_181_tl,puzzle_181_tr,puzzle_181_bl,triangle,yellow
puzzle_182_tl,puzzle_182_tr,puzzle_182_bl,circle,green
puzzle_183_tl,puzzle_183_tr,puzzle_183_bl,trapeze,green
puzzle_184_tl,puzzle_184_tr,puzzle_184_bl,trapeze,red
puzzle_185_tl,puzzle_185_tr,puzzle_185_bl,right_triangle,yellow
puzzle_186_tl,puzzle_186_tr,puzzle_186_bl,rhombus,yellow
puzzle_187_tl,puzzle_187_tr,puzzle_187_bl,triangle,red
puzzle_188_tl,puzzle_188_tr,puzzle_188_bl,rhombus,blue
puzzle_189_tl,puzzle_189_tr,puzzle_189_bl,trapeze,green
puzzle_190_tl,puzzle_190_tr,puzzle_190_bl,kite,green
puzzle_191_tl,puzzle_191_tr,puzzle_191_bl,kite,blue
puzzle_192_tl,puzzle_192_tr,puzzle_192_bl,rhombus,blue
puzzle_193_tl,puzzle_193_tr,puzzle_193_bl,pentagon,green
puzzle_194_tl,puzzle_194_tr,puzzle_194_bl,pentagon,red
puzzle_195_tl,puzzle_195_tr,puzzle_195_bl,rhombus,yellow
puzzle_196_tl,puzzle_196_tr,puzzle_196_bl,trapeze,blue
puzzle_197_tl,puzzle_197_tr,puzzle_197_bl,hexagon,green
puzzle_198_tl,puzzle_198_tr,puzzle_198_bl,triangle,yellow
puzzle_199_tl,puzzle_199_tr,puzzle_199_bl,hexagon,yellow
puzzle_200_tl,puzzle_200_tr,puzzle_200_bl,circle,green
puzzle_201_tl,puzzle_201_tr,puzzle_201_bl,hexagon,yellow
puzzle_202_tl,puzzle_202_tr,puzzle_202_bl,rhombus,green
puzzle_203_tl,puzzle_203_tr,puzzle_203_bl,circle,blue
puzzle_204_tl,puzzle_204_tr,puzzle_204_bl,triangle,yellow
puzzle_205_tl,puzzle_205_tr,puzzle_205_bl,circle,green
puzzle_206_tl,puzzle_206_tr,puzzle_206_bl,trapeze,green
puzzle_207_tl,puzzle_207_tr,puzzle_207_bl,hexagon,blue
puzzle_208_tl,puzzle_208_tr,puzzle_208_bl,hexagon,green
puzzle_209_tl,puzzle_209_tr,puzzle_209_bl,kite,green
puzzle_210_tl,puzzle_210_tr,puzzle_210_bl,trapeze,green
puzzle_211_tl,puzzle_211_tr,puzzle_211_bl,pentagon,yellow
puzzle_212_tl,puzzle_212_tr,puzzle_212_bl,rhombus,blue
puzzle_213_tl,puzzle_213_tr,puzzle_213_bl,right_triangle,blue
puzzle_214_tl,puzzle_214_tr,puzzle_214_bl,triangle,yellow
puzzle_215_tl,puzzle_215_tr,puzzle_215_bl,pentagon,green
puzzle_216_tl,puzzle_216_tr,puzzle_216_bl,hexagon,green
puzzle_217_tl,puzzle_217_tr,puzzle_217_bl,circle,blue
puzzle_218_tl,puzzle_218_tr,puzzle_218_bl,rhombus,yellow
puzzle_219_tl,puzzle_219_tr,puzzle_219_bl,right_triangle,green
puzzle_220_tl,puzzle_220_tr,puzzle_220_bl,square,red
puzzle_221_tl,puzzle_221_tr,puzzle_221_bl,hexagon,red
puzzle_222_tl,puzzle_222_tr,puzzle_222_bl,rhombus,blue
puzzle_223_tl,puzzle_223_tr,puzzle_223_bl,hexagon,red
puzzle_224_tl,puzzle_224_tr,puzzle_224_bl,kite,green
puzzle_225_tl,puzzle_225_tr,puzzle_225_bl,rhombus,blue
puzzle_226_tl,puzzle_226_tr,puzzle_226_bl,triangle,green
puzzle_227_tl,puzzle_227_tr,puzzle_227_bl,kite,red
puzzle_228_tl,puzzle_228_tr,puzzle_228_bl,kite,blue
puzzle_229_tl,puzzle_229_tr,puzzle_229_bl,circle,green
puzzle_230_tl,puzzle_230_tr,puzzle_230_bl,kite,green
puzzle_231_tl,puzzle_231_tr,puzzle_231_bl,pentagon,blue
puzzle_232_tl,puzzle_232_tr,puzzle_232_bl,right_triangle,green
puzzle_233_tl,puzzle_233_tr,puzzle_233_bl,pentagon,green
puzzle_234_tl,puzzle_234_tr,puzzle_234_bl,right_triangle,red
puzzle_235_tl,puzzle_235_tr,puzzle_235_bl,trapeze,yellow
puzzle_236_tl,puzzle_236_tr,puzzle_236_bl,trapeze,green
puzzle_237_tl,puzzle_237_tr,puzzle_237_bl,triangle,green
puzzle_238_tl,puzzle_238_tr,puzzle_238_bl,pentagon,green
puzzle_239_tl,puzzle_239_tr,puzzle_239_bl,hexagon,red
puzzle_240_tl,puzzle_240_tr,puzzle_240_bl,rhombus,red
puzzle_241_tl,puzzle_241_tr,puzzle_241_bl,rhombus,blue
puzzle_242_tl,puzzle_242_tr,puzzle_242_bl,circle,blue
puzzle_243_tl,puzzle_243_tr,puzzle_243_bl,hexagon,blue
puzzle_244_tl,puzzle_244_tr,puzzle_244_bl,rhombus,red
puzzle_245_tl,puzzle_245_tr,puzzle_245_bl,kite,yellow
puzzle_246_tl,puzzle_246_tr,puzzle_246_bl,right_triangle,blue
puzzle_247_tl,puzzle_247_tr,puzzle_247_bl,square,blue
puzzle_248_tl,puzzle_248_tr,puzzle_248_bl,trapeze,blue
puzzle_249_tl,puzzle_249_tr,puzzle_249_bl,triangle,red
puzzle_250_tl,puzzle_250_tr,puzzle_250_bl,triangle,green
puzzle_251_tl,puzzle_251_tr,puzzle_251_bl,right_triangle,yellow
puzzle_252_tl,puzzle_252_tr,puzzle_252_bl,square,yellow
puzzle_253_tl,puzzle_253_tr,puzzle_253_bl,trapeze,red
puzzle_254_tl,puzzle_254_tr,puzzle_254_bl,hexagon,red
puzzle_255_tl,puzzle_255_tr,puzzle_255_bl,pentagon,red
puzzle_256_tl,puzzle_256_tr,puzzle_256_bl,right_triangle,blue
puzzle_257_tl,puzzle_257_tr,puzzle_257_bl,square,green
puzzle_258_tl,puzzle_258_tr,puzzle_258_bl,circle,red
puzzle_259_tl,puzzle_259_tr,puzzle_259_bl,square,green
puzzle_260_tl,puzzle_260_tr,puzzle_260_bl,triangle,blue
puzzle_261_tl,puzzle_261_tr,puzzle_261_bl,circle,red
puzzle_262_tl,puzzle_262_tr,puzzle_262_bl,circle,green
puzzle_263_tl,puzzle_263_tr,puzzle_263_bl,circle,yellow
puzzle_264_tl,puzzle_264_tr,puzzle_264_bl,hexagon,blue
puzzle_265_tl,puzzle_265_tr,puzzle_265_bl,hexagon,yellow
puzzle_266_tl,puzzle_266_tr,puzzle_266_bl,pentagon,green
puzzle_267_tl,puzzle_267_tr,puzzle_267_bl,rhombus,red
puzzle_268_tl,puzzle_268_tr,puzzle_268_bl,pentagon,yellow
puzzle_269_tl,puzzle_269_tr,puzzle_269_bl,right_triangle,yellow
puzzle_270_tl,puzzle_270_tr,puzzle_270_bl,kite,green
puzzle_271_tl,puzzle_271_tr,puzzle_271_bl,hexagon,yellow
puzzle_272_tl,puzzle_272_tr,puzzle_272_bl,rhombus,yellow
puzzle_273_tl,puzzle_273_tr,puzzle_273_bl,trapeze,yellow
puzzle_274_tl,puzzle_274_tr,puzzle_274_bl,right_triangle,blue
puzzle_275_tl,puzzle_275_tr,puzzle_275_bl,trapeze,red
puzzle_276_tl,puzzle_276_tr,puzzle_276_bl,trapeze,red
puzzle_277_tl,puzzle_277_tr,puzzle_277_bl,triangle,yellow
puzzle_278_tl,puzzle_278_tr,puzzle_278_bl,hexagon,yellow
puzzle_279_tl,puzzle_279_tr,puzzle_279_bl,circle,yellow
puzzle_280_tl,puzzle_280_tr,puzzle_280_bl,square,red
puzzle_281_tl,puzzle_281_tr,puzzle_281_bl,trapeze,yellow
puzzle_282_tl,puzzle_282_tr,puzzle_282_bl,trapeze,green
puzzle_283_tl,puzzle_283_tr,puzzle_283_bl,triangle,red
puzzle_284_tl,puzzle_284_tr,puzzle_284_bl,right_triangle,red
puzzle_285_tl,puzzle_285_tr,puzzle_285_bl,pentagon,yellow
puzzle_286_tl,puzzle_286_tr,puzzle_286_bl,circle,green
puzzle_287_tl,puzzle_287_tr,puzzle_287_bl,hexagon,yellow
puzzle_288_tl,puzzle_288_tr,puzzle_288_bl,trapeze,yellow
puzzle_289_tl,puzzle_289_tr,puzzle_289_bl,pentagon,green
puzzle_290_tl,puzzle_290_tr,puzzle_290_bl,circle,green
puzzle_291_tl,puzzle_291_tr,puzzle_291_bl,hexagon,red
puzzle_292_tl,puzzle_292_tr,puzzle_292_bl,pentagon,green
puzzle_293_tl,puzzle_293_tr,puzzle_293_bl,circle,green
puzzle_294_tl,puzzle_294_tr,puzzle_294_bl,right_triangle,red
puzzle_295_tl,puzzle_295_tr,puzzle_295_bl,hexagon,red
puzzle_296_tl,puzzle_296_tr,puzzle_296_bl,rhombus,yellow
puzzle_297_tl,puzzle_297_tr,puzzle_297_bl,trapeze,yellow
puzzle_298_tl,puzzle_298_tr,puzzle_298_bl,triangle,green
puzzle_299_tl,puzzle_299_tr,puzzle_299_bl,square,yellow
puzzle_300_tl,puzzle_300_tr,puzzle_300_bl,hexagon,yellow
puzzle_301_tl,puzzle_301_tr,puzzle_301_bl,pentagon,blue
puzzle_302_tl,puzzle_302_tr,puzzle_302_bl,rhombus,green
puzzle_303_tl,puzzle_303_tr,puzzle_303_bl,hexagon,yellow
puzzle_304_tl,puzzle_304_tr,puzzle_304_bl,triangle,blue
puzzle_305_tl,puzzle_305_tr,puzzle_305_bl,circle,green
puzzle_306_tl,puzzle_306_tr,puzzle_306_bl,square,blue
puzzle_307_tl,puzzle_307_tr,puzzle_307_bl,hexagon,red
puzzle_308_tl,puzzle_308_tr,puzzle_308_bl,right_triangle,yellow
puzzle_309_tl,puzzle_309_tr,puzzle_309_bl,right_triangle,yellow
puzzle_310_tl,puzzle_310_tr,puzzle_310_bl,triangle,yellow
puzzle_311_tl,puzzle_311_tr,puzzle_311_bl,triangle,red
puzzle_312_tl,puzzle_312_tr,puzzle_312_bl,rhombus,blue
puzzle_313_tl,puzzle_313_tr,puzzle_313_bl,hexagon,yellow
puzzle_314_tl,puzzle_314_tr,puzzle_314_bl,circle,yellow
puzzle_315_tl,puzzle_315_tr,puzzle_315_bl,triangle,blue
puzzle_316_tl,puzzle_316_tr,puzzle_316_bl,trapeze,red
puzzle_317_tl,puzzle_317_tr,puzzle_317_bl,hexagon,red
puzzle_318_tl,puzzle_318_tr,puzzle_318_bl,circle,blue
puzzle_319_tl,puzzle_319_tr,puzzle_319_bl,square,red
puzzle_320_tl,puzzle_320_tr,puzzle_320_bl,trapeze,green
puzzle_321_tl,puzzle_321_tr,puzzle_321_bl,circle,yellow
puzzle_322_tl,puzzle_322_tr,puzzle_322_bl,circle,red
puzzle_323_tl,puzzle_323_tr,puzzle_323_bl,circle,blue
puzzle_324_tl,puzzle_324_tr,puzzle_324_bl,circle,red
puzzle_325_tl,puzzle_325_tr,puzzle_325_bl,circle,blue
puzzle_326_tl,puzzle_326_tr,puzzle_326_bl,right_triangle,blue
puzzle_327_tl,puzzle_327_tr,puzzle_327_bl,circle,red
puzzle_328_tl,puzzle_328_tr,puzzle_328_bl,kite,blue
puzzle_329_tl,puzzle_329_tr,puzzle_329_bl,right_triangle,green
puzzle_330_tl,puzzle_330_tr,puzzle_330_bl,pentagon,blue
puzzle_331_tl,puzzle_331_tr,puzzle_331_bl,square,yellow
puzzle_332_tl,puzzle_332_tr,puzzle_332_bl,hexagon,yellow
puzzle_333_tl,puzzle_333_tr,puzzle_333_bl,right_triangle,red
puzzle_334_tl,puzzle_334_tr,puzzle_334_bl,pentagon,red
puzzle_335_tl,puzzle_335_tr,puzzle_335_bl,circle,green
puzzle_336_tl,puzzle_336_tr,puzzle_336_bl,kite,red
puzzle_337_tl,puzzle_337_tr,puzzle_337_bl,rhombus,green
puzzle_338_tl,puzzle_338_tr,puzzle_338_bl,rhombus,red
puzzle_339_tl,puzzle_339_tr,puzzle_339_bl,triangle,yellow
puzzle_340_tl,puzzle_340_tr,puzzle_340_bl,rhombus,red
puzzle_341_tl,puzzle_341_tr,puzzle_341_bl,kite,green
puzzle_342_tl,puzzle_342_tr,puzzle_342_bl,pentagon,blue
puzzle_343_tl,puzzle_343_tr,puzzle_343_bl,pentagon,red
puzzle_344_tl,puzzle_344_tr,puzzle_344_bl,pentagon,blue
puzzle_345_tl,puzzle_345_tr,puzzle_345_bl,kite,yellow
puzzle_346_tl,puzzle_346_tr,puzzle_346_bl,square,green
puzzle_347_tl,puzzle_347_tr,puzzle_347_bl,circle,blue
puzzle_348_tl,puzzle_348_tr,puzzle_348_bl,trapeze,green
puzzle_349_tl,puzzle_349_tr,puzzle_349_bl,kite,yellow
puzzle_350_tl,puzzle_350_tr,puzzle_350_bl,hexagon,yellow
puzzle_351_tl,puzzle_351_tr,puzzle_351_bl,circle,red
puzzle_352_tl,puzzle_352_tr,puzzle_352_bl,circle,blue
puzzle_353_tl,puzzle_353_tr,puzzle_353_bl,right_triangle,green
puzzle_354_tl,puzzle_354_tr,puzzle_354_bl,rhombus,blue
puzzle_355_tl,puzzle_355_tr,puzzle_355_bl,circle,green
puzzle_356_tl,puzzle_356_tr,puzzle_356_bl,right_triangle,red
puzzle_357_tl,puzzle_357_tr,puzzle_357_bl,rhombus,red
puzzle_358_tl,puzzle_358_tr,puzzle_358_bl,right_triangle,blue
puzzle_359_tl,puzzle_359_tr,puzzle_359_bl,right_triangle,red
puzzle_360_tl,puzzle_360_tr,puzzle_360_bl,pentagon,blue
puzzle_361_tl,puzzle_361_tr,puzzle_361_bl,pentagon,red
puzzle_362_tl,puzzle_362_tr,puzzle_362_bl,right_triangle,blue
puzzle_363_tl,puzzle_363_tr,puzzle_363_bl,circle,blue
puzzle_364_tl,puzzle_364_tr,puzzle_364_bl,square,green
puzzle_365_tl,puzzle_365_tr,puzzle_365_bl,circle,blue
puzzle_366_tl,puzzle_366_tr,puzzle_366_bl,pentagon,red
puzzle_367_tl,puzzle_367_tr,puzzle_367_bl,circle,green
puzzle_368_tl,puzzle_368_tr,puzzle_368_bl,right_triangle,yellow
puzzle_369_tl,puzzle_369_tr,puzzle_369_bl,rhombus,blue
puzzle_370_tl,puzzle_370_tr,puzzle_370_bl,pentagon,blue
puzzle_371_tl,puzzle_371_tr,puzzle_371_bl,rhombus,yellow
puzzle_372_tl,puzzle_372_tr,puzzle_372_bl,hexagon,green
puzzle_373_tl,puzzle_373_tr,puzzle_373_bl,kite,red
puzzle_374_tl,puzzle_374_tr,puzzle_374_bl,pentagon,green
puzzle_375_tl,puzzle_375_tr,puzzle_375_bl,triangle,yellow
puzzle_376_tl,puzzle_376_tr,puzzle_376_bl,trapeze,red
