top_left,top_middle,top_right,middle_left,middle_middle,middle_right,bottom_left,bottom_middle,shape
puzzle_45_tl,puzzle_45_tm,puzzle_45_tr,puzzle_45_ml,puzzle_45_mm,puzzle_45_mr,puzzle_45_bl,puzzle_45_bm,circle
puzzle_46_tl,puzzle_46_tm,puzzle_46_tr,puzzle_46_ml,puzzle_46_mm,puzzle_46_mr,puzzle_46_bl,puzzle_46_bm,hexagon
puzzle_47_tl,puzzle_47_tm,puzzle_47_tr,puzzle_47_ml,puzzle_47_mm,puzzle_47_mr,puzzle_47_bl,puzzle_47_bm,triangle
puzzle_48_tl,puzzle_48_tm,puzzle_48_tr,puzzle_48_ml,puzzle_48_mm,puzzle_48_mr,puzzle_48_bl,puzzle_48_bm,kite
puzzle_49_tl,puzzle_49_tm,puzzle_49_tr,puzzle_49_ml,puzzle_49_mm,puzzle_49_mr,puzzle_49_bl,puzzle_49_bm,pentagon
puzzle_50_tl,puzzle_50_tm,puzzle_50_tr,puzzle_50_ml,puzzle_50_mm,puzzle_50_mr,puzzle_50_bl,puzzle_50_bm,rhombus
puzzle_51_tl,puzzle_51_tm,puzzle_51_tr,puzzle_51_ml,puzzle_51_mm,puzzle_51_mr,puzzle_51_bl,puzzle_51_bm,pentagon
puzzle_52_tl,puzzle_52_tm,puzzle_52_tr,puzzle_52_ml,puzzle_52_mm,puzzle_52_mr,puzzle_52_bl,puzzle_52_bm,kite
puzzle_53_tl,puzzle_53_tm,puzzle_53_tr,puzzle_53_ml,puzzle_53_mm,puzzle_53_mr,puzzle_53_bl,puzzle_53_bm,kite
puzzle_54_tl,puzzle_54_tm,puzzle_54_tr,puzzle_54_ml,puzzle_54_mm,puzzle_54_mr,puzzle_54_bl,puzzle_54_bm,square
puzzle_55_tl,puzzle_55_tm,puzzle_55_tr,puzzle_55_ml,puzzle_55_mm,puzzle_55_mr,puzzle_55_bl,puzzle_55_bm,triangle
puzzle_56_tl,puzzle_56_tm,puzzle_56_tr,puzzle_56_ml,puzzle_56_mm,puzzle_56_mr,puzzle_56_bl,puzzle_56_bm,rhombus
puzzle_57_tl,puzzle_57_tm,puzzle_57_tr,puzzle_57_ml,puzzle_57_mm,puzzle_57_mr,puzzle_57_bl,puzzle_57_bm,rhombus
puzzle_58_tl,puzzle_58_tm,puzzle_58_tr,puzzle_58_ml,puzzle_58_mm,puzzle_58_mr,puzzle_58_bl,puzzle_58_bm,square
puzzle_59_tl,puzzle_59_tm,puzzle_59_tr,puzzle_59_ml,puzzle_59_mm,puzzle_59_mr,puzzle_59_bl,puzzle_59_bm,triangle
puzzle_60_tl,puzzle_60_tm,puzzle_60_tr,puzzle_60_ml,puzzle_60_mm,puzzle_60_mr,puzzle_60_bl,puzzle_60_bm,triangle
puzzle_61_tl,puzzle_61_tm,puzzle_61_tr,puzzle_61_ml,puzzle_61_mm,puzzle_61_mr,puzzle_61_bl,puzzle_61_bm,circle
puzzle_62_tl,puzzle_62_tm,puzzle_62_tr,puzzle_62_ml,puzzle_62_mm,puzzle_62_mr,puzzle_62_bl,puzzle_62_bm,hexagon
puzzle_63_tl,puzzle_63_tm,puzzle_63_tr,puzzle_63_ml,puzzle_63_mm,puzzle_63_mr,puzzle_63_bl,puzzle_63_bm,hexagon
puzzle_64_tl,puzzle_64_tm,puzzle_64_tr,puzzle_64_ml,puzzle_64_mm,puzzle_64_mr,puzzle_64_bl,puzzle_64_bm,kite
puzzle_65_tl,puzzle_65_tm,puzzle_65_tr,puzzle_65_ml,puzzle_65_mm,puzzle_65_mr,puzzle_65_bl,puzzle_65_bm,square
puzzle_66_tl,puzzle_66_tm,puzzle_66_tr,puzzle_66_ml,puzzle_66_mm,puzzle_66_mr,puzzle_66_bl,puzzle_66_bm,triangle
puzzle_67_tl,puzzle_67_tm,puzzle_67_tr,puzzle_67_ml,puzzle_67_mm,puzzle_67_mr,puzzle_67_bl,puzzle_67_bm,circle
puzzle_68_tl,puzzle_68_tm,puzzle_68_tr,puzzle_68_ml,puzzle_68_mm,puzzle_68_mr,puzzle_68_bl,puzzle_68_bm,pentagon
puzzle_69_tl,puzzle_69_tm,puzzle_69_tr,puzzle_69_ml,puzzle_69_mm,puzzle_69_mr,puzzle_69_bl,puzzle_69_bm,right_triangle
puzzle_70_tl,puzzle_70_tm,puzzle_70_tr,puzzle_70_ml,puzzle_70_mm,puzzle_70_mr,puzzle_70_bl,puzzle_70_bm,hexagon
puzzle_71_tl,puzzle_71_tm,puzzle_71_tr,puzzle_71_ml,puzzle_71_mm,puzzle_71_mr,puzzle_71_bl,puzzle_71_bm,hexagon
puzzle_72_tl,puzzle_72_tm,puzzle_72_tr,puzzle_72_ml,puzzle_72_mm,puzzle_72_mr,puzzle_72_bl,puzzle_72_bm,hexagon
puzzle_73_tl,puzzle_73_tm,puzzle_73_tr,puzzle_73_ml,puzzle_73_mm,puzzle_73_mr,puzzle_73_bl,puzzle_73_bm,trapeze
puzzle_74_tl,puzzle_74_tm,puzzle_74_tr,puzzle_74_ml,puzzle_74_mm,puzzle_74_mr,puzzle_74_bl,puzzle_74_bm,rhombus
puzzle_75_tl,puzzle_75_tm,puzzle_75_tr,puzzle_75_ml,puzzle_75_mm,puzzle_75_mr,puzzle_75_bl,puzzle_75_bm,square
puzzle_76_tl,puzzle_76_tm,puzzle_76_tr,puzzle_76_ml,puzzle_76_mm,puzzle_76_mr,puzzle_76_bl,puzzle_76_bm,hexagon
puzzle_77_tl,puzzle_77_tm,puzzle_77_tr,puzzle_77_ml,puzzle_77_mm,puzzle_77_mr,puzzle_77_bl,puzzle_77_bm,circle
puzzle_78_tl,puzzle_78_tm,puzzle_78_tr,puzzle_78_ml,puzzle_78_mm,puzzle_78_mr,puzzle_78_bl,puzzle_78_bm,pentagon
puzzle_79_tl,puzzle_79_tm,puzzle_79_tr,puzzle_79_ml,puzzle_79_mm,puzzle_79_mr,puzzle_79_bl,puzzle_79_bm,pentagon
